COUNTRY,TOTAL_CASES,TOTAL_DEATHS,TOTAL_TASTS,TOTAL_RECOVERED,POPULATION
"
North America
",130054070,1664192,,125594669,
"
Asia
",221101978,1552340,,205267325,
"
Europe
",252523891,2090931,,247813016,
"
South America
",69452154,1364096,,66581324,
"
Oceania
",14705715,31961,,14519899,
"
Africa
",12857041,258874,,12089870,
"

",721,15,,706,
World,700695570,6962409,,671866809,
USA,110102732,1190166,1186546440,107881716,334805269
India,45013272,533361,935879495,N/A,1406631776
France,40138560,167642,271490188,39970918,65584518
Germany,38765656,180109,122332384,38240600,83883596
Brazil,38177375,708491,63776166,36249161,215353593
S. Korea,34571873,35934,15804065,34535939,51329899
Japan,33803572,74694,100414883,N/A,125584838
Italy,26632429,194768,278998167,26212377,60262770
UK,24812582,232112,522526476,24580470,68497907
Russia,23713738,401214,273400000,23068286,145805947
Turkey,17232066,102174,162743369,N/A,85561976
Spain,13914811,121760,471036328,13762417,46719142
Australia,11743801,23808,81916639,N/A,26068792
Vietnam,11624114,43206,85826548,10640971,98953541
Taiwan,10241523,19005,30742304,10222518,23888595
Argentina,10080046,130685,35716069,9949361,46010234
Netherlands,8623210,22992,25984435,8597059,17211447
Mexico,7702731,334947,20013810,6899865,131562772
Iran,7625292,146751,57320267,N/A,86022837
Indonesia,6819830,161954,114158919,6647104,279134505
Poland,6631970,120237,39085179,N/A,37739785
Colombia,6386157,143100,36951507,6206196,51512762
Greece,6101379,37869,102228365,N/A,10316637
Austria,6081287,22542,211273524,6054934,9066710
Portugal,5635112,27791,46139518,5605551,10140570
Ukraine,5557995,112418,32603805,5445577,43192122
Chile,5330856,64497,50382097,5252450,19250195
Malaysia,5180812,37246,68580916,5115191,33181072
Canada,4855902,56787,66525130,4770069,38388419
Belgium,4846040,34376,37018657,4798560,11668278
Israel,4841772,12707,41373364,4798473,9326000
DPRK,4772813,74,,4772739,25990679
Thailand,4761781,34514,17270775,4692636,70078203
Czechia,4746434,43329,57609363,4692747,10736784
Peru,4524326,222161,39010194,4302165,33684208
Switzerland,4439992,14452,23833472,4418085,8773637
Philippines,4135345,66813,36078116,4062775,112508994
South Africa,4076463,102595,26795090,3912506,60756135
Romania,3510254,68703,28421552,3437887,19031335
Denmark,3183756,8814,129333107,3174942,5834950
Hong Kong,2924877,14367,76127725,2909859,7604299
Singapore,2827115,1933,24756666,2825182,5943546
Sweden,2745098,26433,19500873,2711846,10218971
Serbia,2608125,18057,13349192,2578372,8653016
New Zealand,2541198,5251,7768604,2529879,4898203
Iraq,2465545,25375,19544451,2439497,42164965
Hungary,2223779,48896,11394556,2152155,9606259
Bangladesh,2046207,29477,15254399,N/A,167885689
Slovakia,1872391,21175,7448789,1848482,5460193
Georgia,1855289,17132,16920079,N/A,3968738
Jordan,1746997,14122,17201885,1731007,10300869
Ireland,1726402,9376,13083449,1715650,5020199
Pakistan,1581936,30664,30589153,1538689,229488994
Finland,1511701,11140,12108977,1496658,5554960
Norway,1506779,5732,11002430,1498175,5511370
Kazakhstan,1411831,13848,11575012,1383020,19205043
Lithuania,1386082,9854,10540357,1359589,2661708
Slovenia,1354926,7100,2847701,1346191,2078034
Bulgaria,1334188,38676,11529728,1290055,6844597
Guatemala,1280858,20272,7593848,1259965,18584039
Croatia,1279927,18518,5660084,1258432,4059286
Morocco,1278164,16298,13001033,N/A,37772756
Lebanon,1243838,10952,4795578,1087587,6684849
Costa Rica,1238883,9428,4659757,N/A,5182354
Bolivia,1210892,22407,2710261,1177145,11992656
Tunisia,1153361,29423,5013383,N/A,12046656
Cuba,1115175,8530,14396176,1106581,11305652
